Total Designs Scored, Generation #, Lineage 1 Score, Lineage 2 Score, Lineage 3 Score, Lineage 4 Score, Lineage 5 Score, Lineage 6 Score, Lineage 7 Score, Lineage 8 Score,
4304, 216, 145200, 188300, 196600, 171000, 182500, 182200, 217500, 168500, 
4328, 217, 145200, 188300, 196600, 171000, 182500, 182200, 217500, 168500, 
4344, 218, 145200, 188300, 196600, 171000, 182500, 182200, 217500, 168500, 
4368, 219, 145200, 188300, 196600, 171000, 182500, 182200, 217500, 168500, 
4384, 220, 145200, 188300, 196600, 171000, 182500, 182200, 217500, 168500, 
4408, 221, 145200, 188300, 196600, 171000, 182500, 182200, 217500, 168500, 
4424, 222, 145200, 188300, 196600, 171000, 182500, 182200, 203000, 168500, 
4448, 223, 145200, 188300, 196600, 171000, 182500, 182200, 199100, 168500, 
4464, 224, 145200, 188300, 196600, 171000, 182500, 182200, 199100, 168500, 
4488, 225, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4504, 226, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4528, 227, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4544, 228, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4568, 229, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4584, 230, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4608, 231, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4624, 232, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4648, 233, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4664, 234, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4688, 235, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4704, 236, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4728, 237, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4744, 238, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4768, 239, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4784, 240, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4808, 241, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4824, 242, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4848, 243, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4864, 244, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4888, 245, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4904, 246, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4928, 247, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4944, 248, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4968, 249, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
4984, 250, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
5008, 251, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
5024, 252, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
5048, 253, 145200, 188300, 196600, 171000, 182500, 182200, 198800, 168500, 
5064, 254, 145200, 188300, 196600, 171000, 182500, 182200, 193500, 168500, 
5088, 255, 145200, 188300, 196600, 171000, 182500, 182200, 193500, 168500, 
5104, 256, 145200, 188300, 196600, 171000, 182500, 182200, 193400, 168500, 
5128, 257, 145200, 188300, 196600, 171000, 182500, 182200, 193400, 168500, 
5144, 258, 145200, 188300, 196600, 171000, 182500, 182200, 193400, 168500, 
5168, 259, 145200, 188300, 196600, 171000, 182500, 182200, 193400, 168500, 
5184, 260, 145200, 188300, 196600, 171000, 182500, 182200, 193400, 168500, 
5208, 261, 145200, 188300, 196600, 171000, 182500, 182200, 193400, 168500, 
5224, 262, 145200, 188300, 196600, 171000, 182500, 182200, 193400, 168500, 
5248, 263, 145200, 188300, 196600, 166600, 182500, 182200, 193400, 168500, 
5264, 264, 145200, 188300, 196600, 166600, 182500, 182200, 193400, 168500, 
5288, 265, 145200, 188300, 196600, 166600, 182500, 182200, 193400, 168500, 
5304, 266, 145200, 188300, 196600, 166600, 182500, 182200, 193400, 168500, 
5328, 267, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5344, 268, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5368, 269, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5384, 270, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5408, 271, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5424, 272, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5448, 273, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5464, 274, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5488, 275, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5504, 276, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5528, 277, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5544, 278, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5568, 279, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5584, 280, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5608, 281, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5624, 282, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5648, 283, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5664, 284, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5688, 285, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5704, 286, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5728, 287, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5744, 288, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5768, 289, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5784, 290, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5808, 291, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5824, 292, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5848, 293, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5864, 294, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5888, 295, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5904, 296, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5928, 297, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5944, 298, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5968, 299, 145200, 188300, 196600, 166600, 182500, 182200, 192300, 168500, 
5984, 300, 145200, 188300, 196600, 166600, 182500, 182200, 185300, 168500, 
6008, 301, 145200, 188300, 196600, 166600, 182500, 182200, 185300, 168500, 
