//	Structure for each line:
//	Number	-tab-	Name	-tab-	"Recipe"
//	Strand names will be strings, but are not allowed to contain spaces. Strand names must start with a letter.
// "Recipe" will be a space separated list of domains which compose a given strand. All recipes should be entered 5' to 3'. The notation "c." can be used to represent the compliment of a given domain.	
1	Scaffold m13mp18
150	S-dNAM03-1d-W-C05	c.ProbeCvar c.T TT d-dNAM03-1d-W-C05
151	S-dNAM03-1d-W-C06	c.ProbeCvar c.T TT d-dNAM03-1d-W-C06
152	S-dNAM03-1d-W-C07	c.ProbeCvar c.T TT d-dNAM03-1d-W-C07
153	S-dNAM03-1d-W-C08	c.ProbeCvar c.T TT d-dNAM03-1d-W-C08
154	S-dNAM03-1d-W-C09	c.ProbeCvar c.T TT d-dNAM03-1d-W-C09
155	S-dNAM03-1d-W-C10	c.ProbeCvar c.T TT d-dNAM03-1d-W-C10
156	S-dNAM03-1d-W-C11	c.ProbeCvar c.T TT d-dNAM03-1d-W-C11
157	S-dNAM03-1d-W-C12	c.ProbeCvar c.T TT d-dNAM03-1d-W-C12
158	S-dNAM03-1d-W-C13	c.ProbeCvar c.T TT d-dNAM03-1d-W-C13
159	S-dNAM03-1d-W-C14	c.ProbeCvar c.T TT d-dNAM03-1d-W-C14
160	S-dNAM03-1d-W-C15	c.ProbeCvar c.T TT d-dNAM03-1d-W-C15
161	S-dNAM03-1d-W-C16	c.ProbeCvar c.T TT d-dNAM03-1d-W-C16
162	S-dNAM03-1d-W-C17	c.ProbeCvar c.T TT d-dNAM03-1d-W-C17
163	S-dNAM03-1d-W-C18	c.ProbeCvar c.T TT d-dNAM03-1d-W-C18
164	S-dNAM03-1d-W-C19	c.ProbeCvar c.T TT d-dNAM03-1d-W-C19
165	S-dNAM03-1d-W-C20	c.ProbeCvar c.T TT d-dNAM03-1d-W-C20
166	S-dNAM03-1d-W-C21	c.ProbeCvar c.T TT d-dNAM03-1d-W-C21
167	S-dNAM03-1d-W-C22	c.ProbeCvar c.T TT d-dNAM03-1d-W-C22
168	S-dNAM03-1d-W-C23	c.ProbeCvar c.T TT d-dNAM03-1d-W-C23
169	S-dNAM03-1d-W-C24	c.ProbeCvar c.T TT d-dNAM03-1d-W-C24
170	S-dNAM03-1d-W-C25	c.ProbeCvar c.T TT d-dNAM03-1d-W-C25
171	S-dNAM03-1d-W-C26	c.ProbeCvar c.T TT d-dNAM03-1d-W-C26
172	S-dNAM03-1d-W-C27	c.ProbeCvar c.T TT d-dNAM03-1d-W-C27
173	S-dNAM03-1d-W-C28	c.ProbeCvar c.T TT d-dNAM03-1d-W-C28
174	S-dNAM03-1d-W-C29	c.ProbeCvar c.T TT d-dNAM03-1d-W-C29
175	S-dNAM03-1d-W-C30	c.ProbeCvar c.T TT d-dNAM03-1d-W-C30
176	S-dNAM03-1d-W-C31	c.ProbeCvar c.T TT d-dNAM03-1d-W-C31
177	S-dNAM03-1d-W-C32	c.ProbeCvar c.T TT d-dNAM03-1d-W-C32
178	S-dNAM03-1d-W-C33	c.ProbeCvar c.T TT d-dNAM03-1d-W-C33
